,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1501,https://www.lottoland.com/en/german-lottery/results-winning-numbers/27-02-2019,German Lotto,27-02-2019,VIII,3 Numbers,356848,9.6,"[11, 13, 19, 20, 24, 49]",2,,,,,
1502,https://www.lottoland.com/en/german-lottery/results-winning-numbers/27-02-2019,German Lotto,27-02-2019,IX,2 Numbers + SuperBall,256404,5,"[11, 13, 19, 20, 24, 49]",2,,,,,
1503,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,I,6 Numbers + SuperBall,1,4087505.7,"[8, 15, 21, 27, 29, 47]",1,,,,,
1504,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,II,6 Numbers,1,1649783.6,"[8, 15, 21, 27, 29, 47]",1,,,,,
1505,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,III,5 Numbers + SuperBall,53,15563.9,"[8, 15, 21, 27, 29, 47]",1,,,,,
1506,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,IV,5 Numbers,510,4852.3,"[8, 15, 21, 27, 29, 47]",1,,,,,
1507,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,V,4 Numbers + SuperBall,2992,275.6,"[8, 15, 21, 27, 29, 47]",1,,,,,
1508,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,VI,4 Numbers,30815,53.5,"[8, 15, 21, 27, 29, 47]",1,,,,,
1509,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,VII,3 Numbers + SuperBall,58624,28.1,"[8, 15, 21, 27, 29, 47]",1,,,,,
1510,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,VIII,3 Numbers,601654,12.3,"[8, 15, 21, 27, 29, 47]",1,,,,,
1511,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-02-2019,German Lotto,23-02-2019,IX,2 Numbers + SuperBall,460093,5,"[8, 15, 21, 27, 29, 47]",1,,,,,
1512,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,I,6 Numbers + SuperBall,0,1328122,"[5, 11, 12, 19, 21, 48]",2,,,,,
1513,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,II,6 Numbers,1,770638.6,"[5, 11, 12, 19, 21, 48]",2,,,,,
1514,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,III,5 Numbers + SuperBall,37,10414,"[5, 11, 12, 19, 21, 48]",2,,,,,
1515,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,IV,5 Numbers,446,2591.8,"[5, 11, 12, 19, 21, 48]",2,,,,,
1516,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,V,4 Numbers + SuperBall,2173,177.3,"[5, 11, 12, 19, 21, 48]",2,,,,,
1517,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,VI,4 Numbers,23786,32.3,"[5, 11, 12, 19, 21, 48]",2,,,,,
1518,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,VII,3 Numbers + SuperBall,38968,19.7,"[5, 11, 12, 19, 21, 48]",2,,,,,
1519,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,VIII,3 Numbers,398563,8.7,"[5, 11, 12, 19, 21, 48]",2,,,,,
1520,https://www.lottoland.com/en/german-lottery/results-winning-numbers/20-02-2019,German Lotto,20-02-2019,IX,2 Numbers + SuperBall,268289,5,"[5, 11, 12, 19, 21, 48]",2,,,,,
1521,https://www.lottoland.com/en/german-lottery/results-winning-numbers/16-02-2019,German Lotto,16-02-2019,I,6 Numbers + SuperBall,1,7094666.4,"[6, 9, 10, 11, 18, 22]",7,,,,,
